loc,year,cases,cases_avg
"NATIONAL",1948,497575,458474
"NATIONAL",1949,613361,427517
"NATIONAL",1950,315831,511186
"NATIONAL",1951,508201,502488
"NATIONAL",1952,620962,515470
"NATIONAL",1953,454086,559717
"NATIONAL",1954,678272,581287
"NATIONAL",1955,537066,549579
"NATIONAL",1956,616050,600236
"NATIONAL",1957,462422,539482
"NATIONAL",1958,707368,518513
"NATIONAL",1959,374503,475813
"NATIONAL",1960,432221,478557
"NATIONAL",1961,402551,403495
"NATIONAL",1962,476141,414846
"NATIONAL",1963,332057,380428
"NATIONAL",1964,431259,340926
"NATIONAL",1965,260133,257520
"NATIONAL",1966,205038,195635
"NATIONAL",1967,59112,114132
"NATIONAL",1968,22633,70979
"NATIONAL",1969,23743,44250
"NATIONAL",1970,44368,38359
"NATIONAL",1971,71395,38904
"NATIONAL",1972,29657,38304
"NATIONAL",1973,25356,34099
"NATIONAL",1974,20743,27432
"NATIONAL",1975,23345,31406
"NATIONAL",1976,38060,31416
"NATIONAL",1977,49527,29753
"NATIONAL",1978,25405,27655
